AnswerID,QuestionID,SortOrder,AnswerText,RequiredEvidenceIDs,IsCorrect,EffectGroupID,ResultText,NextType,NextID
QIpangyuMadness_Credibility,QIpangyuMadness,30,푸른 천이 있었으니 이판규의 진술은 전부 사실이다.,,false,eff_question_credibility,천 조각 하나로 진술 전체를 보증할 수는 없다. 반박은 근거가 아니라 성급한 단정이 되었다.,Resume,
QRitualAccident_Correct,QRitualAccident,10,의례실 종이의 순서와 몫은 이 일이 준비된 구조였음을 반박한다.,EvRitualNote,true,,종이에 남은 순서와 숫자는 우발적 광신이라는 설명을 무너뜨린다. 누군가가 사람 수까지 세며 의식을 준비했다.,Resume,
QRitualAccident_Erosion,QRitualAccident,20,가면의 네 눈이 움직였으니 그날의 광기는 저절로 시작됐다.,EvMask,false,eff_question_erosion,섬뜩한 인상을 원인으로 단정했다. 두려움은 계획을 읽는 대신 스스로 움직이는 물건을 만들어 낸다.,Resume,
QRitualAccident_Credibility,QRitualAccident,30,"옛 기사에 소란이 적혔으니, 그날은 준비 없는 난동이었다.",,false,eff_question_credibility,기사의 소란이라는 표현만으로 준비 여부를 가를 수 없다. 요약 문장이 현장의 구조를 지웠다.,Resume,
QRitualErasure_Correct,QRitualErasure,10,악보의 노래와 의례실 기록은 사람의 이름을 흐리고 배역으로 바꾸는 정해진 절차다.,"EvRitualScore, EvRitualNote",true,,"노래의 결과 기록의 순서가 맞물린다. 의식은 사람을 단번에 없애지 않고, 이름부터 의례의 몫으로 바꿨다.",Resume,
QRitualErasure_Erosion,QRitualErasure,20,악보를 읽는 순간 노래가 내 이름까지 지워 버린다.,EvRitualScore,false,eff_question_both,"의식의 위험을 현재의 확정된 운명으로 발표했다. 공포가 기록을 잠식하며, 남길 문장마저 흔들린다.",Resume,
QRitualErasure_Credibility,QRitualErasure,30,의례실 종이 한 장만으로 노래가 모든 사람의 이름을 지웠다고 단정한다.,,false,eff_question_credibility,종이는 절차의 일부를 보여 줄 뿐 노래의 작동 전체를 증명하지 않는다. 한 조각을 결론으로 삼았다.,Resume,
QRitualLead_Correct,QRitualLead,10,감응 악보와 의례실 기록은 누군가가 순서와 사람 수를 세며 의식을 주도했음을 보여 준다.,"EvRitualScore, EvRitualNote",true,,악보의 결과 기록의 숫자가 같은 구조를 가리킨다. 낙원의 의식은 우발적 소문이 아니라 누군가 끝까지 쥔 판이었다.,Resume,
QRitualLead_Erosion,QRitualLead,20,"가면의 눈이 나를 바라보았으니, 가면 자체가 의식을 주도했다.",EvMask,false,eff_question_erosion,시선의 감각을 주체의 증거로 삼았다. 사람과 물건의 경계가 흐려질수록 기록은 멀어진다.,Resume,
QRitualLead_Credibility,QRitualLead,30,낡은 기사에 이름이 없으니 신문사가 의식을 주도했다.,,false,eff_question_credibility,삭제된 이름은 은폐의 흔적이지 주도자의 서명은 아니다. 빈칸을 범인으로 발표할 수는 없다.,Resume,
QRoom4Purpose_Correct,QRoom4Purpose,10,청색 한복과 네 눈 가면은 4호실이 사람을 의례의 배역으로 준비시키던 곳임을 보여 준다.,"EvBlueHanbok, EvMask",true,,의복과 가면은 장식이 아니라 역할을 갈아 끼우는 도구였다. 4호실은 사람을 의례의 몫으로 준비시키던 자리다.,Resume,
QRoom4Purpose_Erosion,QRoom4Purpose,20,일기에 남은 이름이 흐려졌으니 4호실 벽이 사람의 이름을 먹었다.,EvDiary,false,eff_question_erosion,사람을 지운 구조를 방의 괴물로 바꿔 버렸다. 벽보다 그 벽을 사용한 이들이 먼저 사라진다.,Resume,
QRoom4Purpose_Credibility,QRoom4Purpose,30,청색 한복 하나가 있으니 4호실은 단순한 분장실이었다.,,false,eff_question_credibility,한 벌의 옷만으로 방의 용도를 줄여 버렸다. 가면과 기록이 가리키는 강제의 구조를 놓쳤다.,Resume,
QSonggeumMissing_Correct,QSonggeumMissing,10,송금은 일기에 적힌 대로 의례의 배역으로 밀려 들어가며 사라졌다.,EvDiary,true,,"일기는 송금의 실종이 도피가 아니라, 사람을 의례의 몫으로 바꾸는 순서 안에서 벌어진 소거였음을 남긴다.",Resume,
QSonggeumMissing_Erosion,QSonggeumMissing,20,청색 한복이 송금의 몸을 삼켜 낙원 안으로 데려갔다.,EvBlueHanbok,false,eff_question_erosion,의복에 남은 기척을 사람의 운명으로 덮어썼다. 남은 기록을 읽기보다 공포가 빈자리를 채운다.,Resume,
QSonggeumMissing_Credibility,QSonggeumMissing,30,낡은 기사에 실종이 적혔으니 송금도 같은 날 도망쳤다.,,false,eff_question_credibility,기사의 반복은 구조를 암시할 뿐 송금의 행적을 확정하지 않는다. 시대와 사람을 억지로 한 줄에 묶었다.,Resume,
QSonggeumRunaway_Correct,QSonggeumRunaway,10,"일기는 송금에게 도망칠 틈이 없었고, 의례의 배역으로 정해졌음을 보여 준다.",EvDiary,true,,송금의 실종은 스스로 떠난 도피가 아니다. 선택당한 사람을 지워 버리는 의례의 순서가 그를 밀어 넣었다.,Resume,
QSonggeumRunaway_Erosion,QSonggeumRunaway,20,송금은 청색 한복을 입는 순간 자기 이름을 버리고 사라지기로 했다.,EvBlueHanbok,false,eff_question_erosion,옷의 상징을 송금의 자발적 선택으로 바꿔 버렸다. 의식이 강요한 자리에 그의 목소리는 남지 않는다.,Resume,
QSonggeumRunaway_Credibility,QSonggeumRunaway,30,옛 기사에도 도망자가 있었으니 송금도 같은 방식으로 달아났다.,,false,eff_question_credibility,"과거 기사는 반복을 의심하게 할 뿐, 송금의 선택을 말해 주지 않는다. 비교가 증언을 대신했다.",Resume,
