DialogID,SceneID,Order,CharacterID,EmotionType,StandingSlot,FocusType,EnterMotion,ExitMotion,IdleMotion,FxType,Text,Style,ConditionGroupID,ChoiceGroupID,NextDialogID,Speaker,Portrait,Label
,ch2_cafe,7,,,,,,,,,"(커피를 리필하러 와 조용히 쪽지를 내려놓는다) 오늘 밤, 우물터 옆 담벼락에서 기다릴게요.",normal,,,,,,
,ch2_cafe,8,,,,,,,,,"그 순간, 무대 위 조명이 깜빡이며 흔들린다. 커피잔 위 연기 속으로 파란 빛이 잠시 스쳐간다.",narration,,,,,,
,ch2_cafe,9,,,,,,,,,…뭔가 있다.,thought,,,,,,
,ch2_factory,1,,,,,,,,,경성 외곽 폐공장. 이른 새벽. 바람도 없고 벌레 소리조차 없다.,narration,,,,,,
,ch2_factory,2,,,,,,,,,"기자 양반, 이리 와보쇼. 여깁니다.",normal,,,,,,
,ch2_factory,3,,,,,,,,,이판규의 시신. 무릎을 꿇은 채 고개는 비정상적으로 위를 향해 꺾여 굳어 있다. 입가엔 푸르스름한 점액. 양쪽 눈구멍은 텅 비어 있다.,narration,,,,,,
,ch2_factory,4,,,,,,,,,…손에 뭘 쥐고 있었지. (경직된 손가락을 펴 쪽지를 꺼낸다),thought,,,,,,
,ch2_factory,5,,,,,,,,,"쪽지에는 붉은 잉크로 삐뚤하게 적혀 있다 — '토요일, 낙원. 그녀가 노래하면, 문은 열린다.'",narration,,,,,,
,ch2_factory,6,,,,,,,,,낙원… 카페 낙원. 토요일이 오늘이다.,thought,,,,,,
,ch2_hospital,1,,,,,,,,,"경성 정신병원, 접견실. 철제 창살, 낡은 접견 테이블. 교도관이 문 앞에 대기 중이다.",narration,,,,,,
,ch2_hospital,2,,,,,,,,,"…이판규 씨죠? 기사로 쓰기 전에, 그냥… 이야기를 듣고 싶어요.",normal,,,,,,
,ch2_hospital,3,,,,,,,,,"…왔어. 또, 기자. (천천히 고개를 든다) 내가 죽인 게 아니야. 그 애들은… 내가 바친 거야.",normal,,,,,,
,ch2_hospital,4,,,,,,,,,'바쳤다'… 누구에게요?,normal,,,,,,
,ch2_hospital,5,,,,,,,,,"청의의 감응을 이은… (갑자기 주문처럼) 감응, 감응, 숭성하옵시며—",crazy,,,,,,
,ch2_hospital_a,1,,,,,,,,,"감응? 하하… 인간과 청의동자 사이의 통로야. 노래가 열쇠고, 무녀가 매개야. 나는 그냥 준비하는 자였을 뿐이고.",crazy,,,,,,
,ch2_hospital_a,2,,,,,,,,,'청의동자'… 그게 뭡니까?,normal,,,,,,
,ch2_hospital_a,3,,,,,,,,,"눈이 네 개인 아이. 해와 달의 원천. 그분의 눈이 돌아오는 날, 동방은 불타고 서방은 얼어붙어. 우리만 남아.",crazy,,,,,,
,ch2_hospital_b,1,,,,,,,,,문? 이승과 저승 사이의 경계야. 무녀가 노래하면 열려. 근데 나는 열쇠를 틀렸어. 애들이 틀린 열쇠였대. (몸을 떤다) 그분이 노하셨어…,crazy,,,,,,
,ch2_hospital_b,2,,,,,,,,,틀린 열쇠…? 그럼 맞는 열쇠는 뭡니까?,normal,,,,,,
,ch2_hospital_b,3,,,,,,,,,무녀야. 청의의 무녀. 이해심이 찾아냈어. 낙원의 그 여자.,crazy,,,,,,
,ch2_hospital_end,1,,,,,,,,,"…기자 양반. 당신은 해인가요, 달인가요…?",crazy,,,,,,
,ch2_hospital_end,2,,,,,,,,,잘못했어요… 다신 안 그럴게요…! 문은 아직 열리지 않았어요…!!,crazy,,,,,,
,ch2_hospital_end,3,,,,,,,,,이판규가 갑자기 벌떡 일어서며 교도관을 밀치고 달아난다. 그 눈에는 충혈된 채 웃음기가 남아 있다.,narration,,,,,,
,ch2_hospital_end,4,,,,,,,,,'낙원의 여자'… 청의의 무녀… 이게 단순한 망상일까.,thought,,,,,,
,ch3_room4,1,,,,,,,,,딸칵 — 오래된 자물쇠가 풀린다. 차가운 공기가 스며나온다. 시간이 멈춘 공간.,narration,,,,,,
,ch3_room4,2,,,,,,,,,"…여기, 언니랑 같이 살던 곳이에요. 어느 날 아무 말도 없이 사라졌어요. 신발도 그대로였고, 거울 앞에 브러시도 그대로…",normal,,,,,,
,ch3_room4,3,,,,,,,,,"이건… 이런 옷, 언니가 입은 걸 본 적 없어요. (청색 한복을 들어 보이며)",normal,,,,,,
,ch3_room4,4,,,,,,,,,"무대의상도, 평상복도 아니야. 의례용 복장이다.",thought,,,,,,
,ch3_room4,5,,,,,,,,,…이건 뭐예요? (가면을 보며) 눈이 네 개나 있어요. 무섭게 생겼어요.,normal,,,,,,
,ch3_room4,6,,,,,,,,,의식을 위한 도구야. (서랍 이중 바닥에서 일기장을 꺼내며) 이게 뭔지 봐요.,normal,,,,,,
,ch3_room4,7,,,,,,,,,(낭독) '노래를 부르면 누군가 문 밖에서 듣고 있는 기분이에요. 그 사람들은 절 그분의 그릇이라 불러요…',normal,,,,,,
,ch3_room4,8,,,,,,,,,'그들은 제가 청의의 무녀가 될 운명이라 했어요. 노래가 곧 감응이라면서…',normal,,,,,,
,ch3_room4,9,,,,,,,,,(멍하게) …예전에 언니가 그런 말을 했어요. '자긴 무대가 아니라 문 앞에서 노래를 부를 거래.',normal,,,,,,
,ch3_room4,10,,,,,,,,,청의의 무녀. 이판규가 중얼거렸던 그 이름. 이건 이젠 우연이 아냐.,thought,,,,,,
,ch3_room4,11,,,,,,,,,"…언니가 뭘 겪었든, 여기 증거가 있어요. 이제 더는 남한테 맡기고 싶지 않아요. 제가 직접 찾아야겠어요.",normal,,,,,,
,ch3_room4,12,,,,,,,,,…이건 기사거리가 아니다. 이건… 기록해야 할 진실이다.,thought,,,,,,
,ch3_warehouse,1,,,,,,,,,그날 밤. 우물터 접선 후. 두 사람은 낙원 무대 뒤 창고로 진입한다.,narration,,,,,,
,ch3_warehouse,2,,,,,,,,,"언니가 자주 머물던 곳이에요. 여기서 뭔가 들었다고 했어요… 노래 소리, 의식 같은 소리라고.",normal,,,,,,
,ch3_warehouse,3,,,,,,,,,"흩어진 악보들 사이, 유독 한 장이 반짝이며 눈에 띈다. 푸른 잉크로 무언가가 덧칠되어 있다.",narration,,,,,,
,ch3_warehouse,4,,,,,,,,,…이상하다… 왜 이러지… 머리가 깨질 것 같아…,crazy,,,,,,
,ch3_warehouse,5,,,,,,,,,기자님! (그의 손을 잡으며) 호흡을 고르세요. 천천히. 제가 있어요.,normal,,,,,,
,ch3_warehouse,6,,,,,,,,,(악보를 살피며) 이 노래… 음표 사이에 아주 작은 글씨가 — '청의의 감응을 숭성하옵시며…',normal,,,,,,
,ch3_warehouse,7,,,,,,,,,이건 노래가 아니에요. 의식을 부르는 주문이에요.,normal,,,,,,
,ch3_warehouse,8,,,,,,,,,(벽에 손을 댄 송순의 얼굴을 본다) 저 눈빛… 두려워하고 있는 게 아니야. 버티고 있는 거다.,thought,,,,,,
,ch3_warehouse,9,,,,,,,,,(벽 너머에서 희미한 허밍이 들린다) …언니. 내가 왔어.,normal,,,,,,
,ch4a_library,1,,,,,,,,,다음 날. 유웅룡 단독 루트. 난향일보 자료실.,narration,,,,,,
,ch4a_library,2,,,,,,,,,"1924년 기사… 지금과 똑같은 패턴의 실종 사건이다. 파란 천, 눈 없는 시신, 여성 실종.",thought,,,,,,
,ch4a_library,3,,,,,,,,,게다가 이 기사의 필자가… 편집장이라니? 기사 말미에 지워진 문장 — '낙원이라 불리는 장소에서—' 이후 삭제.,thought,,,,,,
,ch4a_library,4,,,,,,,,,처음부터 알고 있었던 거야. 나한테 이 사건을 취재시킨 것도… 우연이 아니겠지.,thought,,,,,,
,ch4a_slum,1,,,,,,,,,경성 외곽 빈민가. 좁고 습한 골목. 청의교 출신 하층민을 찾아간다.,narration,,,,,,
,ch4a_slum,2,,,,,,,,,"…청의교? 그거 함부로 입에 올리면 안 돼. (목소리를 낮추며) 수년 전에도 그랬어. 여자들이 하나둘 사라지고, 아무도 찾지 않았어.",normal,,,,,,
,ch4a_slum,3,,,,,,,,,주도하는 사람이 있습니까? 누가 이걸 이끌고 있죠?,normal,,,,,,
,ch4a_slum,4,,,,,,,,,"…이해심이라는 여자. 창백한 얼굴, 푸른 옷, 한쪽 눈에 안대. 한 번 본 사람은 잊을 수가 없어.",normal,,,,,,
,ch4a_slum,5,,,,,,,,,'이해심'. 처음으로 이름이 생겼다.,thought,,,,,,
,ch4b_cafe,1,,,,,,,,,같은 날. 송순 단독 루트. 카페 낙원 내부.,narration,,,,,,
,ch4b_cafe,2,,,,,,,,,옥련 씨. 언니에 대해 알고 있는 게 있으면 말해줘요. 제발.,normal,,,,,,
,ch4b_cafe,3,,,,,,,,,…(목소리를 낮추며) 송금 언니는 이해심 님께 직접 선택받았어요. '그릇이 되어야 한다'고. 노래가 문을 여는 열쇠라고 했어요.,normal,,,,,,
,ch4b_cafe,4,,,,,,,,,언니가… 지금 어디에 있어요?,normal,,,,,,
,ch4b_cafe,5,,,,,,,,,저는 겁이 나서 도망쳤어요. 언니는 남았고요. 더는 모르겠어요. 전 기억하고 싶지 않아요.,normal,,,,,,
,ch5_ritual_path,1,,,,,,,,,밤. 두 사람이 재합류한다. 유웅룡이 얻은 정보와 송순이 얻은 정보가 하나로 맞춰진다.,narration,,,,,,
,ch5_ritual_path,2,,,,,,,,,편집장이 처음부터 알고 있었어요. 1924년에도 같은 사건이 있었습니다. 그리고 이해심이라는 여자가 이 모든 걸 주도하고 있어요.,normal,,,,,,
,ch5_ritual_path,3,,,,,,,,,언니는 이해심이 직접 선택했어요. '청의의 무녀'로. 노래가 문을 연다고… 언니가 그 열쇠예요.,normal,,,,,,
,ch5_ritual_path,4,,,,,,,,,청의동자. 눈이 네 개인 아이. 해와 달의 원천. 그 눈이 돌아오는 날 심판. 그리고 그 문이… 여기 지하에 있다는 거잖아요.,thought,,,,,,
,ch5_ritual_path,5,,,,,,,,,들어가야 해요. 언니가 아직 살아있다면.,normal,,,,,,
,ch5_ritual_path,6,,,,,,,,,"어둠 속 창고 깊숙이, 선반 뒤편에 숨겨진 문. 자물쇠도 없다. 문 너머로 미세하게 흘러나오는 공기.",narration,,,,,,
,ch5_ritual_path,7,,,,,,,,,먼저 들어갑니다. (그녀에게 손을 내민다),normal,,,,,,
,ch5_ritual_room,1,,,,,,,,,"계단을 내려가자 공간이 열린다. 돌벽, 흙바닥, 꺼지지 않은 촛불들. 누군가 최근까지 여기 있었다.",narration,,,,,,
,ch5_ritual_room,2,,,,,,,,,이곳이 지하 의례실인가. 저 기분 나쁜 파란 천들 좀 봐.,normal,,,,,,
,ch5_ritual_room,3,,,,,,,,,저기 제단에… '그릇은 셋. 둘은 쓰였고 하나가 남았다'라고 적혀 있어요.,normal,,,,,,
,ch5_ritual_room,4,,,,,,,,,그릇 셋 중 둘은 이판규가 바쳤던 아이들. 그리고 세 번째가… 아직 남아 있다.,thought,,,,,,
,ch5_ritual_room,5,,,,,,,,,언니가 살아있어요. 아직 의식이 끝나지 않았어요.,normal,,,,,,
,ch5_ritual_room,6,,,,,,,,,"그때, 더 깊은 곳에서 여성의 노랫소리가 흘러나온다. 표정 없는, 감정 없는 노래.",narration,,,,,,
,ch6_ending_a,1,,,,,,,,,(창고 벽 앞에서 들었던 그 멜로디로 응답한다. 언니의 노래에 맞서는 허밍),normal,,,,,,
,ch6_ending_a,2,,,,,,,,,감응이 흔들린다. 이해심이 비틀거리며 쓰러진다. 문이 반쯤 열린 채 닫힌다.,narration,,,,,,
,ch6_ending_a,3,,,,,,,,,"송금이 천천히 고개를 돌린다. 눈이 텅 비어 있다. 살아있지만, 돌아오지 않았다.",narration,,,,,,
,ch6_ending_a,4,,,,,,,,,(언니를 껴안는다. 언니는 반응이 없다),normal,,,,,,
,ch6_ending_b,1,,,,,,,,,유웅룡이 이해심을 향해 달려든다. 충돌. 이해심이 쓰러지며 의식의 연결이 끊긴다.,narration,,,,,,
,ch6_ending_b,2,,,,,,,,,문이 닫힌다. 노래가 멎는다. 송금은 그 자리에 쓰러진다. 숨은 붙어 있다. 하지만 눈을 뜨지 않는다.,narration,,,,,,
,ch6_ending_b,3,,,,,,,,,"(수첩을 꺼낸다. 처음으로 모든 것을 적는다. 이판규, 폐공장, 낙원, 이해심, 청의동자, 그리고 두 사람의 이름)",thought,,,,,,
,ch6_ending_c,1,,,,,,,,,문이 완전히 열린다. 무엇이 나왔는지 보이지 않는다. 공간 전체가 잠시 — 정지한다. 소리가 없다. 빛이 없다.,narration,,,,,,
,ch6_ending_c,2,,,,,,,,,"다시 현실로 돌아왔을 때 — 이해심도, 송금도, 천용해도 없다. 유웅룡과 송순만 남아 있다.",narration,,,,,,
,ch6_ending_c,3,,,,,,,,,…뭐가 나왔을까요.,normal,,,,,,
,ch6_ending_c,4,,,,,,,,,(대답하지 않는다),normal,,,,,,
,ch6_epilogue,1,,,,,,,,,"며칠 뒤, 경성. 난향일보에 짧은 기사가 실렸다.",narration,,,,,,
,ch6_epilogue,2,,,,,,,,,"""낙원 화재로 인한 건물 일부 소실. 인명 피해 없음.""",narration,,,,,,
,ch6_epilogue,3,,,,,,,,,유웅룡의 이름은 없다. 편집장이 그 기사를 보며 담배를 피운다. 표정이 없다.,narration,,,,,,
,ch6_epilogue,4,,,,,,,,,문은 열렸다. 무엇이 나왔는지는 아무도 모른다. 그리고 아무도 묻지 않는다.,narration,,,,,,
,ch6_ritual_scene,1,,,,,,,,,지하 의례실 깊숙이. 이해심이 의식을 집행하고 있다. 송금이 청색 한복을 입고 노래하고 있다. 표정이 없다.,narration,,,,,,
,ch6_ritual_scene,2,,,,,,,,,"어리석은 자들이여. 문이 열리는 날, 경성은 비로소 정화될 것이다. 동방은 불의 눈으로, 서방은 차가운 눈으로.",normal,,,,,,
,ch6_ritual_scene,3,,,,,,,,,"(표정 없이, 노래를 흥얼거린다) …푸른… 옷을… 입고… 문 앞에… 서서…",normal,,,,,,
,ch6_ritual_scene,4,,,,,,,,,언니… 언니!,normal,,,,,,
,ch6_ritual_scene,5,,,,,,,,,"이해심의 눈에서 피가 흐르기 시작한다. 하나는 불빛, 하나는 서릿발. 문이 열리고 있다.",narration,,,,,,
