"SceneID"	"Chapter"	"Title"	"Background"	"Music"	"Effect"	"GoalKicker"	"GoalText"	"EvidencePromptTitle"	"EvidencePromptHint"	"InvestigationTitle"	"InvestigationHint"	"ForcedQuestionIDs"	"QuestionMode"
"ch5_ritual_room"	"5"	"지하 의례실"	"assets/bg/ritual_room.jpg"	"assets/sfx/ritual.mp3"	"2"	""	""	"지금 가진 증거를 제단 앞에 들이민다"	"의례실에서 붙든 구조와 단서를 지금 이 자리의 흔적에 겹쳐, 무엇이 반복되고 있는지 더 분명하게 확인한다."	""	""	"QRitualLead, QRitualAccident, QRitualErasure"	"All"
"ch6_article"	"6"	"기사 완성"	"assets/bg/newsroom.jpeg"	"assets/sfx/newsroom.mp3"	""	"기사"	"피해자, 의식, 배후를 각각 입증해 기사 한 장으로 끝까지 몰아붙일 근거를 완성한다."	"기사의 이 항목을 증거로 뒷받침하라"	"올바른 증거를 고르면 신용이 오른다. 맞지 않는 증거를 내밀면 기사의 신뢰가 흔들린다."	""	""	""	""
"ch6_choice_a"	"6"	"붙드는 쪽"	"assets/bg/ritual_room.jpg"	"assets/sfx/ritual_climax.mp3"	""	""	""	""	""	""	""	""	""
"ch6_choice_b"	"6"	"막아서는 쪽"	"assets/bg/ritual_room.jpg"	"assets/sfx/ritual_climax.mp3"	""	""	""	""	""	""	""	""	""
"ch6_choice_c"	"6"	"멈춘 쪽"	"assets/bg/ritual_room.jpg"	"assets/sfx/ritual_climax.mp3"	""	""	""	""	""	""	""	""	""
"ch6_ending_a"	"6"	"엔딩 A — 돌아오지 않은 언니"	"assets/bg/ritual_room.jpg"	"assets/sfx/ending.mp3"	""	""	""	""	""	""	""	""	""
"ch6_ending_b"	"6"	"엔딩 B — 기록된 것들"	"assets/bg/ritual_room.jpg"	"assets/sfx/ending.mp3"	""	""	""	""	""	""	""	""	""
"ch6_ending_c"	"6"	"엔딩 C — 문 너머"	"assets/bg/ritual_room.jpg"	"assets/sfx/ending.mp3"	"2"	""	""	""	""	""	""	""	""
"ch6_epilogue"	"6"	"에필로그"	"assets/bg/newsroom.jpeg"	"assets/sfx/ending.mp3"	""	""	""	""	""	""	""	""	""
"ch6_final_decision"	"6"	"폭로 뒤의 결단"	"assets/bg/ritual_room.jpg"	"assets/sfx/ritual_climax.mp3"	""	"마지막 결단"	"폭로로 만든 틈을 어디에 쓸지 고른다. 사람을 붙들거나, 의식을 끊거나, 기록을 남긴다."	""	""	""	""	""	""
"ch6_outcome"	"6"	"의식의 균열"	"assets/bg/ritual_room.jpg"	"assets/sfx/ritual_climax.mp3"	"2"	""	""	""	""	""	""	""	""
"ch6_path_a"	"6"	"콧노래의 응답"	"assets/bg/ritual_room.jpg"	"assets/sfx/ritual_climax.mp3"	""	""	""	""	""	""	""	""	""
"ch6_path_a2"	"6"	"돌아오지 않은 숨"	"assets/bg/ritual_room.jpg"	"assets/sfx/ending.mp3"	""	""	""	""	""	""	""	""	""
"ch6_path_b"	"6"	"기록자의 선택"	"assets/bg/ritual_room.jpg"	"assets/sfx/ritual_climax.mp3"	""	""	""	""	""	""	""	""	""
"ch6_path_b2"	"6"	"남겨진 기록"	"assets/bg/ritual_room.jpg"	"assets/sfx/ending.mp3"	""	""	""	""	""	""	""	""	""
"ch6_ritual_scene"	"6"	"의식 현장"	"assets/bg/ritual_room.jpg"	"assets/sfx/ritual_climax.mp3"	"4"	"결단 목표"	"송금, 이해심, 그리고 이 방에 쌓인 질문들 사이에서 무엇을 사람 쪽으로 남길지 지금 결정한다."	""	""	""	""	""	""
"ch6_threshold"	"6"	"의식 직전"	"assets/bg/ritual_room.jpg"	"assets/sfx/ritual.mp3"	""	""	""	""	""	""	""	""	""
"scene_ending_erosion"	"6"	"침식의 끝"	"assets/bg/ritual_room.jpg"	"assets/sfx/ritual_climax.mp3"	""	""	""	""	""	""	""	""	""
"scene_gameover_credibility"	"0"	"평판 붕괴 — 게임오버"	"assets/bg/newsroom.jpeg"	"assets/sfx/ending.mp3"	""	""	""	""	""	""	""	""	""
"scene_gameover_erosion"	"0"	"게임 오버 - 침식"	"assets/bg/factory.jpeg"	"assets/sfx/ending.mp3"	""	""	""	""	""	""	""	""	""
