ChoiceID	ChoiceGroupID	Order	Text	ConditionGroupID	NextType	NextID	EvidenceID	TrustCharacterID	TrustValue	ResonanceValue	StateType	StateValue	SceneID
Ch2HospitalAskDoor		2	그가 벌벌 떠는 '문'의 정체부터 확인한다.		Scene	ch2_hospital_b							ch2_hospital
Ch2EscapeDocument		1	탈주 경로와 목격을 수첩에 남긴 뒤 현장으로 향한다.		Scene	ch2_factory							ch2_hospital_end
Ch2EscapePursue		2	사라진 이판규가 끌려간 방향을 끝까지 쫓는다.		Scene	ch2_factory							ch2_hospital_end
Ch2WellTrustNote	ChoiceGroup_Songsoon_Trust	101	쪽지를 꺼내 보인다.		Dialog	dlg_songsoon_open	EvNote						ch2_well
Ch2WellTrustCloth	ChoiceGroup_Songsoon_Trust	102	푸른 천 조각을 내민다.		Dialog	dlg_songsoon_open	EvBlueCloth						ch2_well
Ch3HallwayHoldHand	ChoiceGroup_HallwayBonus	1	문을 밀기 전, 먼저 송순의 손을 마주 잡는다.	CG_Room4_TrustedSongsoon	Dialog	hallway_hold_hand_react							ch3_hallway
Ch3HallwayPromiseRecord		2	송순에게 이 방에서 본 일을 함께 기록하겠다고 약속한다.		Scene	ch3_room4							ch3_hallway
Ch3HallwayDocumentMarks		3	문 앞 긁힌 자국을 수첩에 옮겨 적는다.		Scene	ch3_room4							ch3_hallway
Ch3Room4TouchWall	ChoiceGroup_Room4Investigation	1	위험을 감수하고 벽 문양이 남긴 저항 흔적을 짚는다.		Dialog	room4_touch							ch3_room4
Ch3Room4ReadRecord	ChoiceGroup_Room4Investigation	2	공포보다 기록을 택하고 일기의 구조를 끝까지 읽는다.		Dialog	room4_record							ch3_room4
Ch3Room4ComfortSongsoon	ChoiceGroup_Room4Investigation	3	증거보다 먼저 송순의 무너지는 마음을 붙든다.		Dialog	room4_comfort							ch3_room4
Ch3Room4CompareNote	ChoiceGroup_Room4Investigation	4	쥐고 있던 붉은 쪽지를 방 안 흔적과 나란히 맞대 본다.	CG_Room4_HasNote	Dialog	room4_note							ch3_room4
Ch3WarehouseReadRitual		1	관자놀이가 깨질 듯해도 악보를 끝까지 읽어 낸다.		Scene	ch3_score_read							ch3_warehouse
Ch3WarehouseTrustSongsoon		2	악보보다 송순 씨의 귀와 숨결을 먼저 믿는다.		Scene	ch3_score_trust							ch3_warehouse
Ch4AEditorRecallArchive	ChoiceGroup_EditorRoomBonus	1	삭제된 문장을 이었던 방식 그대로, 편집장의 말도 끝까지 받아 적는다.	CG_Branch_ExposedArchivePattern	Dialog	editor_room_archive_react							ch4a_editor_room
Ch4AEditorArticles	ChoiceGroup_Editor_Confront	101	1924년 기사 뭉치를 책상에 올려놓는다.		Dialog	dlg_editor_reveal	EvOldArticles						ch4a_editor_room
Ch4ALibraryTakeArticles		1	기사 뭉치를 챙긴다.		Scene	ch4a_articles_take							ch4a_library
Ch4ALibraryNoteArticles		2	핵심 문장만 수첩에 적고 넘어간다.		Scene	ch4a_articles_note							ch4a_library
Ch4ALibraryExposeArchive		3	삭제된 문장과 증언을 묶어 편집장의 의도를 먼저 추적한다.	CG_Library_QSonggeumRunaway	Scene	ch4a_articles_expose							ch4a_library
Ch4ALibraryEvidenceDiary	ChoiceGroup_LibraryEvidence	101	숨겨진 일기장을 기사 옆에 펼친다.		Dialog	present_diary	EvDiary						ch4a_library
Ch4ALibraryEvidenceHanbok	ChoiceGroup_LibraryEvidence	102	청색 한복의 결을 기사 기록과 대조한다.		Dialog	present_hanbok	EvBlueHanbok						ch4a_library
Ch4aSlumAskBelief	ChoiceGroup_SlumInvestigation	1	그 여자가 사람들에게 무얼 판다는 건지 캐묻는다		Dialog	inv_belief							ch4a_slum
Ch4aSlumAskMasked	ChoiceGroup_SlumInvestigation	2	뒤에 있다는 얼굴 가린 사내를 캐묻는다		Dialog	inv_masked							ch4a_slum
Ch4aSlumAskMissing	ChoiceGroup_SlumInvestigation	3	이 골목에서 최근에 사라진 여자가 있었는지 캐묻는다		Dialog	inv_missing							ch4a_slum
Ch4aSlumAskHanbok	ChoiceGroup_SlumInvestigation	4	청색 한복을 꺼내 보이며 이 옷이 어디서 나온 건지 캐묻는다	CG_Slum_HasHanbok	Dialog	inv_hanbok							ch4a_slum
Ch4bBackroomCheckAbsence	ChoiceGroup_BackroomInvestigation	1	결근표와 빈 객실 장부를 대조해, 누가 어떤 날 사라졌는지 확인한다.		Dialog	backroom_absence							ch4b_backroom
Ch4bBackroomTraceLaundry	ChoiceGroup_BackroomInvestigation	2	세탁 자루와 무대 뒤 출입 흔적을 따라, 지하로 이어진 동선을 확인한다.		Dialog	backroom_route							ch4b_backroom
Ch4BCafeHold		1	알겠어요. 더는 억지로 묻지 않을게요.		Scene	ch4b_cafe_hold							ch4b_cafe
Ch4BCafePress		2	조금만 더 말해줘요. 여기서 멈출 순 없어요.		Scene	ch4b_cafe_press							ch4b_cafe
Ch4BCafeErosionPress		3	이유 모를 확신에 이끌려, 그 소리가 들리는 쪽을 그대로 좇는다.	CG_Cafe4b_Erosion2	Scene	ch4b_cafe_press							ch4b_cafe
Ch4BCafeDiary	ChoiceGroup_Okryeon_Confront	101	송금의 일기장을 꺼내 보인다.		Dialog	dlg_okryeon_reveal	EvDiary						ch4b_cafe
Ch4BCafeHanbok	ChoiceGroup_Okryeon_Confront	102	푸른 한복 조각을 내민다.		Dialog	dlg_okryeon_reveal	EvBlueHanbok						ch4b_cafe
Ch5EditorObey	ChoiceGroup_EditorOrder	1	…알겠습니다. 무리는 하지 않겠습니다.		Scene	ch5_descent							ch5_contact_editor
Ch5EditorDefy	ChoiceGroup_EditorOrder	2	죄송합니다. 여기까지 왔으니 끝을 봐야겠습니다.		Scene	ch5_descent							ch5_contact_editor
Ch5DescentSelfReliant	ChoiceGroup_Descent	1	편집장 도움 없이 왔다는 사실을 되새기며 스스로 다잡는다.	CG_Branch_CalledEditorFalse	Dialog	descent_self_reliant_react							ch5_descent
Ch5DescentSignal		2	송순과 멈출 신호를 정하고 계단을 내려간다.		Scene	ch5_guarded_door							ch5_descent
Ch5DescentFollowSong		3	콧노래의 박자를 기억하며 소리가 나는 쪽으로 간다.		Scene	ch5_guarded_door							ch5_descent
Ch5GuardedDoorListen	ChoiceGroup_GuardedDoorInvestigation	1	콧노래의 결을 끝까지 듣고, 문 안쪽 호흡을 짚어 본다.		Dialog	door_listen							ch5_guarded_door
Ch5GuardedDoorSteady	ChoiceGroup_GuardedDoorInvestigation	2	송순과 숨을 고른 뒤, 함께 문을 민다.		Dialog	door_steady							ch5_guarded_door
Ch5GuardedDoorObserve	ChoiceGroup_GuardedDoorInvestigation	3	문 틈으로 안의 배치와 위험을 직접 읽어 낸다.		Dialog	door_observe							ch5_guarded_door
Ch5GuardedDoorReadScore	ChoiceGroup_GuardedDoorInvestigation	4	감응 악보를 펼쳐 지금 흘러나오는 노래의 순서와 맞춰 본다.	CG_GuardedDoor_HasScore	Dialog	door_listen							ch5_guarded_door
Ch5ParticipantLedgerRead	ChoiceGroup_ParticipantLedger	1	일기와 공연 순서표를 명부에 겹쳐 강제 편입과 기본 순번을 확인한다.		Dialog	ledger_read							ch5_participant_ledger
Ch5ParticipantLedgerReveal	ChoiceGroup_ParticipantLedger	2	염료를 닦아 숨긴 순번까지 드러내고 의식 교란의 틈을 읽는다.	CG_ParticipantLedger_Erosion3	Dialog	ledger_reveal							ch5_participant_ledger
Ch5PathContactEditor		1	편집장에게 연락한다.		Scene	ch5_contact_editor							ch5_ritual_path
Ch5PathNoContact		2	말하지 않는다. 둘만 간다.		Scene	ch5_no_contact							ch5_ritual_path
Ch5RitualEvidenceNote	ChoiceGroup_RitualEvidence	101	의례실 종이를 제단 앞 문장과 맞대 본다.		Dialog	present_ritual_note	EvRitualNote						ch5_ritual_room
Ch5RitualEvidenceScore	ChoiceGroup_RitualEvidence	102	감응 악보를 지금 울리는 노래와 겹쳐 본다.		Dialog	present_ritual_score	EvRitualScore						ch5_ritual_room
Ch5RitualEvidenceMask	ChoiceGroup_RitualEvidence	103	가면의 눈 배열을 제단 문양과 대조한다.	CG_RitualRoom_QRitualAccident	Dialog	present_mask	EvMask						ch5_ritual_room
Ch6ArticleRecallCafePress	ChoiceGroup_ArticleBonus	1	카페에서 옥련을 더 밀어붙였던 그 밤을 떠올리며 문장을 고쳐 쓴다.	CG_Branch_EndingAScore2	Dialog	article_cafe_press_react							ch6_article
article_q1_correct	ChoiceGroup_ArticleQ1	101	일기장 — 피해자 이름을 직접 특정한다.		Dialog	article_q1_react	EvDiary						ch6_article
article_q2_correct	ChoiceGroup_ArticleQ2	102	의식 악보 — 노래로 사람을 묶어 둔 감응의 방법을 밝힌다.		Dialog	article_q2_react	EvRitualScore						ch6_article
article_q3_correct	ChoiceGroup_ArticleQ3	103	1924년 기사 뭉치 — 과거에도 반복된 실종의 계보를 폭로한다.		Dialog	article_q3_react	EvOldArticles						ch6_article
Ch6FinalAnswer	ChoiceGroup_RitualFinal	1	송순이 언니를 사람의 이름으로 붙들어 세운다.		Scene	ch6_choice_a							ch6_final_decision
Ch6FinalBlock	ChoiceGroup_RitualFinal	2	유웅룡이 명부의 순번과 악보를 따라 제단을 끊는다.		Scene	ch6_choice_b							ch6_final_decision
Ch6FinalRecord	ChoiceGroup_RitualFinal	3	기사와 목격, 명부를 남겨 반복된 구조를 드러낸다.		Scene	ch6_choice_b							ch6_final_decision
Ch6FinalExpose	ChoiceGroup_RitualFinal	1	지금까지 쌓은 질문과 단서를 들이밀어 이해심의 거짓을 폭로한다.	CG_Proof_All	Dialog	ritual_expose							ch6_ritual_scene
Ch6FinalHesitate	ChoiceGroup_RitualFinal	2	증명을 끝내지 못한 채 공포에 얼어붙는다.		Scene	ch6_choice_c							ch6_ritual_scene
Ch6ThresholdErosionTouch	ChoiceGroup_Threshold	1	이미 물든 감각으로, 문에 먼저 손을 얹는다.	CG_Threshold_Erosion6	Dialog	threshold_erosion_react							ch6_threshold
Ch6ThresholdCredibilityResolve	ChoiceGroup_Threshold	2	그동안 지켜 낸 기자로서의 신뢰를 되새기며 두려움을 억누른다.	CG_Threshold_Credibility7	Dialog	threshold_credibility_react							ch6_threshold
