ConditionID	ConditionGroupID	ConditionType	ConditionTargetID	CompareType	ConditionValue
Cond_Epilogue_EndingB_01	CG_Epilogue_EndingB	GaugeValue	Credibility	GreaterEqual	7
Cond_Epilogue_EndingB_02	CG_Epilogue_EndingB	ChoiceSelected	article_q3_correct	Equal	true
Cond_Erosion_High_01	CG_Erosion_High	GaugeValue	Erosion	GreaterEqual	7
Cond_Erosion_Max_01	CG_Erosion_Max	GaugeValue	Erosion	GreaterEqual	10
Cond_Hospital_Info2_01	CG_Hospital_Info2	ChoiceSelected	Ch2HospitalAskDoor	Equal	true
Cond_Library_BlueHanbok_01	CG_Library_BlueHanbok	EvidenceOwned	EvBlueHanbok	Equal	true
Cond_Library_Diary_01	CG_Library_Diary	EvidenceOwned	EvDiary	Equal	true
Cond_Library_Investigation_01	CG_Library_Investigation2	GaugeValue	Credibility	GreaterEqual	2
Cond_Library_RunawaySolved_01	CG_Library_QSonggeumRunaway	ChoiceSelected	QuestionSolved_QSonggeumRunaway	Equal	true
Cond_Outcome_QMadness_01	CG_Outcome_QMadness	ChoiceSelected	QuestionSolved_QIpangyuMadness	Equal	true
Cond_Outcome_QRunaway_01	CG_Outcome_QRunaway	ChoiceSelected	QuestionSolved_QSonggeumRunaway	Equal	true
Cond_Outcome_SolvedMid_01	CG_Outcome_SolvedMid	GaugeValue	SolvedQuestionCount	Equal	[2, 3]
Cond_RR_QIpangyuSeen_01	CG_QR_IpangyuSeen_01	RevealedCharacter	Ipangyu	Equal	true
Cond_RR_QRitualOpen_01	CG_QR_RitualOpen_01	GaugeValue	ReadRitualScore	GreaterEqual	1
Cond_RR_QRitualOpen_02	CG_QR_RitualOpen_02	RevealedCharacter	Haesim	Equal	true
Cond_RR_QRitualOpen_03	CG_QR_RitualOpen_03	SceneProgressIndex		GreaterEqual	31
Cond_RR_QSonggeumOpen_01	CG_QR_SonggeumOpen_01	EvidenceOwned	EvDiary	Equal	true
Cond_RR_QSonggeumOpen_02	CG_QR_SonggeumOpen_02	EvidenceOwned	EvOldArticles	Equal	true
Cond_RR_QSonggeumOpen_03	CG_QR_SonggeumOpen_03	SceneProgressIndex		GreaterEqual	24
Cond_RR_QSonggeumOpen_04	CG_QR_SonggeumOpen_04	RevealedCharacter	Songgeum	Equal	true
Cond_RR_QIpangyuState_00	CG_QS_IpangyuCall_01	ChoiceSelected	QuestionSolved_QIpangyuCall	Equal	true
Cond_RR_QIpangyuState_01	CG_QS_IpangyuCall_02	GaugeValue	Erosion	GreaterEqual	1
Cond_RR_QIpangyuMadnessState_00	CG_QS_IpangyuMadness_01	ChoiceSelected	QuestionSolved_QIpangyuMadness	Equal	true
Cond_RR_QIpangyuMadnessState_01	CG_QS_IpangyuMadness_02	EvidenceOwned	EvNote	Equal	true
Cond_RR_QRitualAccidentState_00	CG_QS_RitualAccident_01	ChoiceSelected	QuestionSolved_QRitualAccident	Equal	true
Cond_RR_QRitualAccidentState_01	CG_QS_RitualAccident_02	EvidenceOwned	EvRitualNote	Equal	true
Cond_RR_QRitualState_00	CG_QS_RitualLead_01	ChoiceSelected	QuestionSolved_QRitualLead	Equal	true
Cond_RR_QRitualState_01	CG_QS_RitualLead_02	GaugeValue	ReadRitualScore	GreaterEqual	1
Cond_RR_QSonggeumState_00	CG_QS_SonggeumMissing_01	ChoiceSelected	QuestionSolved_QSonggeumMissing	Equal	true
Cond_RR_QSonggeumState_01	CG_QS_SonggeumMissing_02	EvidenceOwned	EvDiary	Equal	true
Cond_RR_QSonggeumRunawayState_00	CG_QS_SonggeumRunaway_01	ChoiceSelected	QuestionSolved_QSonggeumRunaway	Equal	true
Cond_RR_QSonggeumRunawayState_01	CG_QS_SonggeumRunaway_02	EvidenceOwned	EvDiary	Equal	true
Cond_RitualRoom_OldArticles_01	CG_RitualRoom_OldArticles	EvidenceOwned	EvOldArticles	Equal	true
Cond_RitualRoom_AccidentSolved_01	CG_RitualRoom_QRitualAccident	ChoiceSelected	QuestionSolved_QRitualAccident	Equal	true
Cond_RitualRoom_QRitualAccident_01	CG_RitualRoom_QRitualAccident	ChoiceSelected	QuestionSolved_QRitualAccident	Equal	true
Cond_RitualRoom_RitualScore_01	CG_RitualRoom_RitualScore	EvidenceOwned	EvRitualScore	Equal	true
Cond_RitualScene_Resonance_01	CG_RitualScene_Resonance2	GaugeValue	Erosion	GreaterEqual	2
Cond_RitualScene_SolvedHigh_01	CG_RitualScene_SolvedHigh	GaugeValue	SolvedQuestionCount	Equal	[4, 5, 6]
Cond_Room4_ReadRitual_01	CG_Room4_ReadRitual	GaugeValue	ReadRitualScore	GreaterEqual	1
Cond_Room4_TrustedSongsoon_01	CG_Room4_TrustedSongsoon	ChoiceSelected	Ch3WarehouseTrustSongsoon|Ch3Room4ComfortSongsoon	Equal	true
Cond_Threshold_CalledEditorFalse_01	CG_Threshold_CalledEditorFalse	ChoiceSelected	Ch5PathNoContact	Equal	true
Cond_Threshold_FoundOldArticles_01	CG_Threshold_FoundOldArticles	ChoiceSelected	Ch4ALibraryTakeArticles|Ch4ALibraryExposeArchive	Equal	true
Cond_Threshold_Investigation_01	CG_Threshold_Investigation3	GaugeValue	Credibility	GreaterEqual	3
Cond_Threshold_Resonance_01	CG_Threshold_Resonance2	GaugeValue	Erosion	GreaterEqual	2
Cond_Threshold_RitualNote_01	CG_Threshold_RitualNote	EvidenceOwned	EvRitualNote	Equal	true
Cond_Threshold_SolvedMid_01	CG_Threshold_SolvedMid	GaugeValue	SolvedQuestionCount	Equal	[2, 3]
Cond_Threshold_TrustedSongsoon_01	CG_Threshold_TrustedSongsoon	ChoiceSelected	Ch3WarehouseTrustSongsoon|Ch3Room4ComfortSongsoon	Equal	true
